Quaternion: q0=0.8687940239906311, q1=0.03072435036301613, q2=-0.009678064845502377, q3=0.49412477016448975
Quaternion: q0=0.8691297173500061, q1=0.030675824731588364, q2=-0.009712906554341316, q3=0.49353650212287903
Quaternion: q0=0.8694360852241516, q1=0.03065643273293972, q2=-0.009725275449454784, q3=0.49299752712249756
Quaternion: q0=0.8697140216827393, q1=0.03067551739513874, q2=-0.009754748083651066, q3=0.49250519275665283
Quaternion: q0=0.8699637651443481, q1=0.030657755210995674, q2=-0.009801562875509262, q3=0.4920639991760254
Quaternion: q0=0.8701737523078918, q1=0.030642563477158546, q2=-0.009814034216105938, q3=0.4916934072971344
Quaternion: q0=0.8703779578208923, q1=0.03065253421664238, q2=-0.009832140058279037, q3=0.49133092164993286
Quaternion: q0=0.870573103427887, q1=0.03061663545668125, q2=-0.009853637777268887, q3=0.49098673462867737
Quaternion: q0=0.8707377910614014, q1=0.030633732676506042, q2=-0.00984677579253912, q3=0.49069374799728394
Quaternion: q0=0.8709182739257812, q1=0.03063802421092987, q2=-0.009869989939033985, q3=0.49037256836891174
Quaternion: q0=0.8711059093475342, q1=0.030646109953522682, q2=-0.009878660552203655, q3=0.49003860354423523
Quaternion: q0=0.8713150024414062, q1=0.030640307813882828, q2=-0.009905754588544369, q3=0.4896664023399353
Quaternion: q0=0.8715415596961975, q1=0.030630728229880333, q2=-0.009931947104632854, q3=0.4892632067203522
Quaternion: q0=0.8717751502990723, q1=0.030639180913567543, q2=-0.009955012239515781, q3=0.4888460040092468
Quaternion: q0=0.8720356225967407, q1=0.03062373399734497, q2=-0.009973262436687946, q3=0.48838165402412415
Quaternion: q0=0.8723129630088806, q1=0.030644185841083527, q2=-0.009974122978746891, q3=0.4878849387168884
Quaternion: q0=0.8725689053535461, q1=0.030611196532845497, q2=-0.010022325441241264, q3=0.4874279797077179
Quaternion: q0=0.8728038668632507, q1=0.030612612143158913, q2=-0.010040728375315666, q3=0.4870065748691559
Quaternion: q0=0.873068630695343, q1=0.03059525415301323, q2=-0.010076109319925308, q3=0.4865323007106781
Quaternion: q0=0.8733517527580261, q1=0.03059781715273857, q2=-0.010097046382725239, q3=0.48602333664894104
